公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,洪山区,python开发工程师,1-3年,不限,8k-15k,六险一金 超长年假 绩效奖金 福利多多,"移动互联网,数据服务",开发|测试|运维类,"['绩效奖金', '股票期权', '领导好', '扁平管理']",后端开发,武汉
大河网络传媒集团有限公司,大河网,150-500人,不需要融资,中原区,Python,3-5年,本科,5k-10k,五险 双休,文娱丨内容,开发|测试|运维类,"['节日礼物', '年底双薪', '专项奖金', '带薪年假']",后端开发,郑州
智牛数字科技（广州）有限公司,智牛数字科技,500-2000人,C轮,南山区,python开发工程师,3-5年,本科,15k-25k,5天8小时，五险一金，3~6个月年终,"数据服务,物联网",开发|测试|运维类,"['周六日双休', '年终奖多', '调薪幅度高', '六险一金']",后端开发,深圳
西安数据如金信息科技有限公司,金数据,50-150人,不需要融资,高新技术产业开发区,Python开发工程师,3-5年,本科,12k-20k,五险一金 技术大牛 极客精神,企业服务,开发|测试|运维类,"['技能培训', '年底双薪', '带薪年假', '岗位晋升']",后端开发,西安
微慕客（成都）科技有限公司,微慕客（成都）科技有限公司,50-150人,不需要融资,双流县,python开发工程师,1-3年,本科,8k-12k,五险一金 弹性工作 扁平管理 微软项目,数据服务,开发|测试|运维类,[],后端开发,成都
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,郫县,python开发工程师,3-5年,本科,12k-20k,"氛围温馨,周末双休,节日福利，五险一金",移动互联网,开发|测试|运维类,[],后端开发,成都
北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,python开发,3-5年,本科,15k-20k,六险一金 下午茶 弹性时间,企业服务,开发|测试|运维类,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",后端开发,北京
成都小启科技有限责任公司,小启科技,50-150人,不需要融资,高新区,Python开发工程师,1-3年,本科,8k-15k,"五险一金,带薪年假,周末双休","移动互联网,旅游",开发|测试|运维类,"['股票期权', '扁平管理', '互联网金融', '年底双薪']",后端开发,成都
北京博乐科技有限公司,博乐科技,150-500人,不需要融资,朝阳区,python开发,不限,本科,15k-30k,13薪+项目奖金+出国游+周末双休,移动互联网,开发|测试|运维类,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']",后端开发,北京
北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-30k,"工作氛围好,各种团建,弹性工作","移动互联网,广告营销",开发|测试|运维类,"['节日礼物', '项目奖金', '弹性工作时间', '15天年假']",后端开发,北京
凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,2000人以上,上市公司,朝阳区,Python爬虫工程师 (MJ000130),1-3年,本科,15k-25k,八险一金 技术氛围好,文娱丨内容,开发|测试|运维类,"['免费班车', '八险一金', '各色型男', '过节大礼包']",后端开发,北京
深圳市普特生物医学工程有限公司,普特生物医学,150-500人,不需要融资,南山区,python开发工程师,3-5年,本科,15k-24k,"周末双休,五险一金,带薪年假,地铁沿线",医疗丨健康,开发|测试|运维类,[],后端开发,深圳
